id,long,lat,name
1,-0.109970527,51.52916347,"River Street , Clerkenwell"
2,-0.197574246,51.49960695,"Phillimore Gardens, Kensington"
3,-0.084605692,51.52128377,"Christopher Street, Liverpool Street"
4,-0.120973687,51.53005939,"St. Chad's Street, King's Cross"
5,-0.156876,51.49313,"Sedding Street, Sloane Square"
6,-0.144228881,51.51811784,"Broadcasting House, Marylebone"
7,-0.1680743,51.53430039,"Charlbert Street, St. John's Wood"
8,-0.170134484,51.52834133,"Lodge Road, St. John's Wood"
9,-0.096440751,51.5073853,"New Globe Walk, Bankside"
10,-0.092754157,51.50597426,"Park Street, Bankside"
11,-0.122502346,51.52395143,"Brunswick Square, Bloomsbury"
12,-0.130431727,51.52168078,"Malet Street, Bloomsbury"
13,-0.136039674,51.51991453,"Scala Street, Fitzrovia"
14,-0.123616824,51.52994371,"Belgrove Street , King's Cross"
15,-0.127854211,51.51772703,"Great Russell Street, Bloomsbury"
16,-0.125979294,51.52635795,"Cartwright Gardens , Bloomsbury"
17,-0.109006325,51.5216612,"Hatton Wall, Holborn"
18,-0.12221963,51.51477076,"Drury Lane, Covent Garden"
19,-0.131161087,51.52505093,"Taviton Street, Bloomsbury"
20,-0.135273468,51.52773634,"Drummond Street , Euston"
21,-0.13884627,51.53007835,"Hampstead Road (Cartmel), Euston"
22,-0.114079481,51.5222641,"Northington Street , Holborn"
23,-0.119123345,51.51943538,"Red Lion Square, Holborn"
24,-0.124678402,51.51908011,"British Museum, Bloomsbury"
25,-0.132250369,51.5288338,"Doric Way , Somers Town"
26,-0.11829517,51.52728093,"Ampton Street , Clerkenwell"
27,-0.107927706,51.51382102,"Bouverie Street, Temple"
28,-0.143613641,51.52351808,"Bolsover Street, Fitzrovia"
29,-0.193487,51.513735,"Hereford Road, Bayswater"
30,-0.093421615,51.52915444,"Windsor Terrace, Hoxton"
32,-0.084439283,51.52469624,"Leonard Circus , Shoreditch"
34,-0.129386874,51.5341235,"Pancras Road, King's Cross"
36,-0.184980612,51.50173726,"De Vere Gardens, Kensington"
37,-0.192369256,51.49159394,"Penywern Road, Earl's Court"
38,-0.197245586,51.4973875,"Abingdon Villas, Kensington"
39,-0.078130921,51.5263778,"Shoreditch High Street, Shoreditch"
40,-0.0755789,51.52127071,"Commercial Street, Shoreditch"
41,-0.083911168,51.52001715,"Sun Street, Liverpool Street"
42,-0.093903825,51.53099181,"Wenlock Road , Hoxton"
43,-0.157183945,51.52026,"Crawford Street, Marylebone"
44,-0.144165239,51.51073687,"Bruton Street, Mayfair"
45,-0.162298,51.522511,"Boston Place, Marylebone"
46,-0.06691,51.507131,"Nesham Street, Wapping"
47,-0.183846408,51.52334476,"Warwick Avenue Station, Maida Vale"
48,-0.099141408,51.51248445,"Godliman Street, St. Paul's"
49,-0.145904427,51.50706909,"Curzon Street, Mayfair"
50,-0.087459376,51.52867339,"East Road, Hoxton"
51,-0.104298194,51.52671796,"Finsbury Library , Finsbury"
52,-0.094934859,51.52295439,"Roscoe Street, St. Luke's"
54,-0.094475072,51.52174785,"Golden Lane, Barbican"
55,-0.086685542,51.51707521,"Finsbury Circus, Liverpool Street"
56,-0.154701411,51.52058381,"Paddington Street, Marylebone"
57,-0.120202614,51.52334672,"Guilford Street , Bloomsbury"
58,-0.079248081,51.52452699,"New Inn Yard, Shoreditch"
59,-0.114329032,51.53176825,"Rodney Street, Angel"
60,-0.172190727,51.52644828,"Lisson Grove, St. John's Wood"
61,-0.089446947,51.49738251,"Great Dover Street, The Borough"
62,-0.106323685,51.4907579,"Cotton Garden Estate, Kennington"
63,-0.089782579,51.53089041,"Murray Grove , Hoxton"
64,-0.124749274,51.50946212,"William IV Street, Strand"
65,-0.13518856,51.52522753,"Gower Place , Euston"
66,-0.108657431,51.51795029,"Holborn Circus, Holborn"
67,-0.108028472,51.51882555,"Hatton Garden, Holborn"
68,-0.116688468,51.52059681,"Theobald's Road , Holborn"
69,-0.134407652,51.5262363,"Euston Road, Euston"
70,-0.117069978,51.53136059,"Calshot Street , King's Cross"
71,-0.098850915,51.5154186,"Newgate Street , St. Paul's"
72,-0.108340165,51.52352001,"Farringdon Lane, Clerkenwell"
73,-0.088486188,51.52572618,"Old Street Station, St. Luke's"
74,-0.124469948,51.48591714,"Vauxhall Cross, Vauxhall"
75,-0.105480698,51.53219984,"Torrens Street, Angel"
76,-0.144083893,51.52559505,"Longford Street, The Regent's Park"
77,-0.124121774,51.52341837,"Russell Square Station, Bloomsbury"
78,-0.099489485,51.52486887,"Sadlers Sports Centre, Finsbury"
81,-0.141327271,51.52025302,"Great Titchfield Street, Fitzrovia"
82,-0.111257,51.514274,"Chancery Lane, Holborn"
83,-0.131510949,51.50963938,"Panton Street, West End"
84,-0.111778348,51.51593725,"Breams Buildings, Holborn"
85,-0.078600401,51.50064702,"Tanner Street, Bermondsey"
