,Difference
01/11/2012 04:30,1
01/11/2012 05:00,-1
01/11/2012 05:30,1
01/11/2012 06:00,2
01/11/2012 06:30,10
01/11/2012 07:00,18
01/11/2012 07:30,59
01/11/2012 08:00,49
01/11/2012 08:30,36
01/11/2012 09:00,12
01/11/2012 09:30,4
01/11/2012 10:00,9
01/11/2012 10:30,1
01/11/2012 11:00,2
01/11/2012 11:30,-2
01/11/2012 12:00,-2
01/11/2012 12:30,1
01/11/2012 13:00,-2
01/11/2012 13:30,0
01/11/2012 14:00,0
01/11/2012 14:30,-2
01/11/2012 15:00,-5
01/11/2012 15:30,0
01/11/2012 16:00,-9
01/11/2012 16:30,-20
01/11/2012 17:00,-39
01/11/2012 17:30,-58
01/11/2012 18:00,-26
01/11/2012 18:30,-7
01/11/2012 19:00,-2
01/11/2012 19:30,-5
01/11/2012 20:00,1
01/11/2012 20:30,-3
01/11/2012 21:00,3
01/11/2012 21:30,0
01/11/2012 22:00,1
01/11/2012 22:30,0
01/11/2012 23:00,1
01/11/2012 23:30,1
02/11/2012 00:00,0
02/11/2012 00:30,-1
02/11/2012 01:00,0
02/11/2012 01:30,0
02/11/2012 02:00,1
02/11/2012 02:30,0
02/11/2012 03:00,0
02/11/2012 03:30,0
02/11/2012 04:00,0
02/11/2012 04:30,0
02/11/2012 05:00,-1
02/11/2012 05:30,1
02/11/2012 06:00,1
02/11/2012 06:30,8
02/11/2012 07:00,16
02/11/2012 07:30,49
02/11/2012 08:00,59
02/11/2012 08:30,32
02/11/2012 09:00,12
02/11/2012 09:30,-1
02/11/2012 10:00,0
02/11/2012 10:30,-1
02/11/2012 11:00,2
02/11/2012 11:30,2
02/11/2012 12:00,1
02/11/2012 12:30,5
02/11/2012 13:00,-1
02/11/2012 13:30,-3
02/11/2012 14:00,-3
02/11/2012 14:30,-4
02/11/2012 15:00,-1
02/11/2012 15:30,-7
02/11/2012 16:00,-4
02/11/2012 16:30,-13
02/11/2012 17:00,-39
02/11/2012 17:30,-44
02/11/2012 18:00,-25
02/11/2012 18:30,-6
02/11/2012 19:00,-1
02/11/2012 19:30,-1
02/11/2012 20:00,-4
02/11/2012 20:30,-6
02/11/2012 21:00,-1
02/11/2012 21:30,3
02/11/2012 22:00,2
02/11/2012 22:30,0
02/11/2012 23:00,-4
02/11/2012 23:30,-2
03/11/2012 00:00,-1
03/11/2012 00:30,-2
03/11/2012 01:00,3
03/11/2012 01:30,0
03/11/2012 02:00,-1
03/11/2012 02:30,-1
03/11/2012 03:00,2
03/11/2012 03:30,4
03/11/2012 04:00,-1
03/11/2012 04:30,0
03/11/2012 05:00,0
03/11/2012 05:30,-3
03/11/2012 06:00,0
03/11/2012 06:30,-1
03/11/2012 07:00,1
03/11/2012 07:30,-1
03/11/2012 08:00,-3
03/11/2012 08:30,1
03/11/2012 09:00,-1
03/11/2012 09:30,1
03/11/2012 10:00,0
03/11/2012 10:30,2
03/11/2012 11:00,2
03/11/2012 11:30,4
03/11/2012 12:00,4
03/11/2012 12:30,-2
03/11/2012 13:00,1
03/11/2012 13:30,-1
03/11/2012 14:00,1
03/11/2012 14:30,2
03/11/2012 15:00,0
03/11/2012 15:30,1
03/11/2012 16:00,-2
03/11/2012 16:30,-3
03/11/2012 17:00,0
03/11/2012 17:30,-3
03/11/2012 18:00,1
03/11/2012 18:30,4
03/11/2012 19:00,-1
03/11/2012 19:30,-2
03/11/2012 20:00,-3
03/11/2012 20:30,1
03/11/2012 21:00,-1
03/11/2012 21:30,0
03/11/2012 22:00,0
03/11/2012 22:30,1
03/11/2012 23:00,1
03/11/2012 23:30,0
04/11/2012 00:00,0
04/11/2012 00:30,2
04/11/2012 01:00,0
04/11/2012 01:30,2
04/11/2012 02:00,1
04/11/2012 02:30,0
04/11/2012 03:00,0
04/11/2012 03:30,0
04/11/2012 04:00,0
04/11/2012 04:30,2
04/11/2012 05:00,-2
04/11/2012 05:30,-3
04/11/2012 06:00,0
04/11/2012 06:30,0
04/11/2012 07:00,1
04/11/2012 07:30,1
04/11/2012 08:00,0
04/11/2012 08:30,1
04/11/2012 09:00,-1
04/11/2012 09:30,0
04/11/2012 10:00,-1
04/11/2012 10:30,0
04/11/2012 11:00,2
04/11/2012 11:30,-2
04/11/2012 12:00,0
04/11/2012 12:30,1
04/11/2012 13:00,2
04/11/2012 13:30,0
04/11/2012 14:00,0
04/11/2012 14:30,-1
04/11/2012 15:00,2
04/11/2012 15:30,3
04/11/2012 16:00,4
04/11/2012 16:30,2
04/11/2012 17:00,0
04/11/2012 17:30,1
04/11/2012 18:00,2
04/11/2012 18:30,0
04/11/2012 19:00,-2
04/11/2012 19:30,2
04/11/2012 20:00,0
04/11/2012 20:30,1
04/11/2012 21:00,1
04/11/2012 21:30,1
04/11/2012 22:00,0
04/11/2012 22:30,0
04/11/2012 23:00,0
04/11/2012 23:30,0
05/11/2012 00:00,0
05/11/2012 00:30,0
05/11/2012 01:00,0
05/11/2012 01:30,0
05/11/2012 02:00,0
05/11/2012 02:30,-3
05/11/2012 03:00,-1
05/11/2012 03:30,1
05/11/2012 04:00,0
05/11/2012 04:30,0
05/11/2012 05:00,-1
05/11/2012 05:30,-1
05/11/2012 06:00,-2
05/11/2012 06:30,11
05/11/2012 07:00,37
05/11/2012 07:30,60
05/11/2012 08:00,57
05/11/2012 08:30,53
05/11/2012 09:00,2
05/11/2012 09:30,0
05/11/2012 10:00,0
05/11/2012 10:30,0
05/11/2012 11:00,3
05/11/2012 11:30,0
05/11/2012 12:00,1
05/11/2012 12:30,3
05/11/2012 13:00,-1
05/11/2012 13:30,-4
05/11/2012 14:00,5
05/11/2012 14:30,1
05/11/2012 15:00,-8
05/11/2012 15:30,-9
05/11/2012 16:00,-21
05/11/2012 16:30,-16
05/11/2012 17:00,-60
05/11/2012 17:30,-72
05/11/2012 18:00,-9
05/11/2012 18:30,1
05/11/2012 19:00,2
05/11/2012 19:30,-1
05/11/2012 20:00,-1
05/11/2012 20:30,2
05/11/2012 21:00,1
05/11/2012 21:30,-2
05/11/2012 22:00,1
05/11/2012 22:30,-1
05/11/2012 23:00,1
05/11/2012 23:30,1
06/11/2012 00:00,0
06/11/2012 00:30,1
06/11/2012 01:00,0
06/11/2012 01:30,0
06/11/2012 02:00,-1
06/11/2012 02:30,0
06/11/2012 03:00,0
06/11/2012 03:30,0
06/11/2012 04:00,0
06/11/2012 04:30,1
06/11/2012 05:00,0
06/11/2012 05:30,0
06/11/2012 06:00,3
06/11/2012 06:30,13
06/11/2012 07:00,26
